fps_id,fps_name,district,district_code,state,year,month,month_name,scraped_at_utc,total_etransactions,aadhaar_authenticated,other_mode_authenticated,non_authenticated,aadhaar_authenticated_pct,phh_regular_txn,phh_intra_state_txn,phh_inter_state_txn,phh_total_txn,aay_regular_txn,aay_intra_state_txn,aay_inter_state_txn,aay_total_txn,phh_regular_ration_card,phh_intra_state_ration_card,phh_inter_state_ration_card,phh_total_ration_card,aay_regular_ration_card,aay_intra_state_ration_card,aay_inter_state_ration_card,aay_total_ration_card,wheat_regular_kg,wheat_intra_state_kg,wheat_inter_state_kg,wheat_total_kg,rice_regular_kg,rice_intra_state_kg,rice_inter_state_kg,rice_total_kg,fortified_rice_regular_kg,fortified_rice_intra_state_kg,fortified_rice_inter_state_kg,fortified_rice_total_kg,coarse_grains_regular_kg,coarse_grains_intra_state_kg,coarse_grains_inter_state_kg,coarse_grains_total_kg,barley_regular_kg,barley_intra_state_kg,barley_inter_state_kg,barley_total_kg,bajra_regular_kg,bajra_intra_state_kg,bajra_inter_state_kg,bajra_total_kg,maize_regular_kg,maize_intra_state_kg,maize_inter_state_kg,maize_total_kg,jowar_regular_kg,jowar_intra_state_kg,jowar_inter_state_kg,jowar_total_kg,ragi_regular_kg,ragi_intra_state_kg,ragi_inter_state_kg,ragi_total_kg,kodo_regular_kg,kodo_intra_state_kg,kodo_inter_state_kg,kodo_total_kg,all_commodities_regular_kg,all_commodities_intra_state_kg,all_commodities_inter_state_kg,all_commodities_total_kg,quality_flags
158500100001,SMT.SANNA SANJAY PADTE-83 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T20:33:12+00:00,143,143,0,0,100.0,143,0,0,143,0,0,0,0,143,0,0,143,0,0,0,0,0,0,0,0.0,3000,0,0,3000.0,3,0,0,3.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3000,0,0,3000.0,
158500100002,M/S P S KAREKAR-26 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T20:33:13+00:00,279,279,0,0,100.0,169,70,9,248,27,2,2,31,169,70,9,248,27,2,2,31,0,0,0,0.0,3890,1300,235,5425.0,3.89,1.3,0.21,5.4,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3890,1300,235,5425.0,
158500100005,ARPORA NAGOA V K S S STY LTD-39 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:11+00:00,384,384,0,0,100.0,330,4,21,355,19,0,10,29,330,4,21,355,19,0,10,29,0,0,0,0.0,6655,60,770,7485.0,6.655,0.06,0.77,7.485,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6655,60,770,7485.0,
158500100006,ASHOK P SHIRODKAR-103 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:12+00:00,28,28,0,0,100.0,27,0,0,27,1,0,0,1,27,0,0,27,1,0,0,1,0,0,0,0.0,490,0,0,490.0,0.49,0,0,0.49,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,490,0,0,490.0,
158500100007,ASHOK G DHARGALKAR-94 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:12+00:00,445,445,0,0,100.0,424,4,17,445,0,0,0,0,424,4,17,445,0,0,0,0,0,0,0,0.0,7840,55,345,8240.0,7.84,0.055,0.345,8.24,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,7840,55,345,8240.0,
158500100008,SANTOSH NAGESH PRABHU-74 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:13+00:00,142,142,0,0,100.0,135,0,0,135,7,0,0,7,135,0,0,135,7,0,0,7,0,0,0,0.0,2440,0,0,2440.0,2.44,0,0,2.44,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2440,0,0,2440.0,
158500100009,THE MAPUSA CONSUMER COOP STY-1& 2 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:13+00:00,507,507,0,0,100.0,464,6,7,477,29,0,1,30,464,6,7,477,29,0,1,30,0,0,0,0.0,10525,125,140,10790.0,10.525,0.125,0.14,10.79,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,10525,125,140,10790.0,
158500100011,SUBHASH DHARGALKAR-62 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:14+00:00,615,615,0,0,100.0,573,0,25,598,12,0,5,17,573,0,25,598,12,0,5,17,0,0,0,0.0,11815,0,685,12500.0,11.815,0,0.685,12.5,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,11815,0,685,12500.0,
158500100012,SAYUKTA B. KESARKAR-105 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:14+00:00,117,117,0,0,100.0,101,11,0,112,5,0,0,5,101,11,0,112,5,0,0,5,0,0,0,0.0,2120,120,0,2240.0,2.12,0.12,0,2.24,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2120,120,0,2240.0,
158500100013,PANDURANG V GOVEKAR-85 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:14+00:00,95,95,0,0,100.0,52,0,4,56,39,0,0,39,52,0,4,56,39,0,0,39,0,0,0,0.0,2335,0,85,2420.0,2.335,0,0.085,2.42,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2335,0,85,2420.0,
158500100014,PRADEEP P MISHAL-77 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:15+00:00,88,88,0,0,100.0,74,7,0,81,7,0,0,7,74,7,0,81,7,0,0,7,0,0,0,0.0,1625,135,0,1760.0,1.625,0.135,0,1.76,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1625,135,0,1760.0,
158500100015,GOKULDAS FAIR PRICE SHOP-111 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:15+00:00,98,98,0,0,100.0,90,1,0,91,7,0,0,7,90,1,0,91,7,0,0,7,0,0,0,0.0,1835,10,0,1845.0,1.835,0.01,0,1.845,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1835,10,0,1845.0,
158500100016,VIMAL R AZGAONKAR-67 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:16+00:00,126,126,0,0,100.0,121,0,0,121,5,0,0,5,121,0,0,121,5,0,0,5,0,0,0,0.0,2315,0,0,2315.0,2.315,0,0,2.315,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2315,0,0,2315.0,
158500100017,RANJANA C NAIK-109 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:16+00:00,216,216,0,0,100.0,168,0,16,184,28,0,4,32,168,0,16,184,28,0,4,32,0,0,0,0.0,4245,0,508,4753.0,4.245,0,0.508,4.753,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4245,0,508,4753.0,
158500100019,Dhond Shop-57 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:17+00:00,345,345,0,0,100.0,339,1,0,340,5,0,0,5,339,1,0,340,5,0,0,5,0,0,0,0.0,6315,10,0,6325.0,6.315,0.01,0,6.325,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6315,10,0,6325.0,
158500100020,M/S PANDHARI PANGAM-51 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:17+00:00,294,294,0,0,100.0,256,7,19,282,8,0,4,12,256,7,19,282,8,0,4,12,0,0,0,0.0,4770,140,470,5380.0,4.77,0.14,0.47,5.38,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4770,140,470,5380.0,
158500100021,SADANAND S LOTLIKAR-32 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:18+00:00,211,211,0,0,100.0,181,2,11,194,13,0,4,17,181,2,11,194,13,0,4,17,0,0,0,0.0,3910,30,350,4290.0,3.91,0.03,0.35,4.29,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3910,30,350,4290.0,
158500100022,SURESH P SAWANT-91 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:18+00:00,96,96,0,0,100.0,87,0,0,87,9,0,0,9,87,0,0,87,9,0,0,9,0,0,0,0.0,1905,0,0,1905.0,1.905,0,0,1.905,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1905,0,0,1905.0,
158500100023,DAYANAND KENKRE-33 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:18+00:00,249,249,0,0,100.0,224,6,10,240,9,0,0,9,224,6,10,240,9,0,0,9,0,0,0,0.0,4790,115,190,5095.0,4.79,0.115,0.19,5.095,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4790,115,190,5095.0,
158500100024,DEEPAK ATCHUT NAIK-101 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:19+00:00,114,114,0,0,100.0,87,4,21,112,0,0,2,2,87,4,21,112,0,0,2,2,0,0,0,0.0,1680,90,510,2280.0,1.68,0.09,0.51,2.28,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1680,90,510,2280.0,
158500100025,SHRIKRISHNA POKHRE-116 FPS,NORTH GOA,585,GOA,2026,3,March,2026-08-04T21:38:19+00:00,256,256,0,0,100.0,231,0,12,243,11,0,2,13,231,0,12,243,11,0,2,13,0,0,0,0.0,4765,0,285,5050.0,4.765,0,0.285,5.05,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4765,0,285,5050.0,
